Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Features Testing (Gerrard, 2000a, Fig. 5) | Approach |  | Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5), Integration Testing? (implied by Gerrard, 2000a, Fig. 5; Sangwan and LaPlante, 2006, p. 26), System Testing? (Sangwan and LaPlante, 2006, p. 26) |  | 
Field Testing | Approach | "Testing conducted to evaluate the system behavior under productive connectivity conditions in the field" (Hamburg and Mogyorodi, 2024) | Beta Testing? (implied by Kam, 2008, p. 44), Operational (Acceptance) Testing? | Operational (Acceptance) Testing? | 
Flexibility Testing (Firesmith, 2015, p. 53) | Type (implied by its quality (ISO/IEC, 2023a; IEEE, 2017, p. 184) and by Firesmith, 2015, p. 53) | Testing the "capability of a product to be adapted to changes in its requirements, contexts of use, or system environment" (ISO/IEC, 2023a; similar in IEEE, 2017, p. 184) |  |  | 
Follow-on Operational Testing | Level (inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30) | FOT (Firesmith, 2015, p. 30) | 
Forcing Exception Testing | Technique (Washizaki, 2024, p. 5-12) | Testing that "check[s] whether the SUT can manage a predefined set of exceptions/errors" (Washizaki, 2024, p. 5-12) | Scenario-based Testing? (Washizaki, 2024, p. 5-13) |  | Related to the "test-to-fail" approach (Patton, 2006, pp. 66-67)
Formal Methods (Kam, 2008, Tab. 1) | Approach |  | Formal Testing? |  | 
Formal Modular Verification (Chalin et al., 2006, p. 342) | Approach |  | Formal Testing |  | Does this imply "modular verification"?
Formal Reviews | Approach | "Review[s] that follow[] … defined process[es] with … formally documented output[s]" (Hamburg and Mogyorodi, 2024) | Reviews (Washizaki, 2024, p. 12-14; Hamburg and Mogyorodi, 2024), Formal Testing |  | See ISO 20246
Formal Testing | Approach | "Testing conducted in accordance with test plans and procedures that have been reviewed and approved" (IEEE, 2017, p. 188) |  |  | Since informal testing still follows "test plans and procedures" (IEEE, 2017, p. 220), this is probably not related to scripted testing (at least specifically). In the domain of web testing, this can be split into TestUML and StateChart (Kam, 2008, pp. 4-5)
Formative Evaluations | Approach | "Evaluation[s] designed and used to improve the quality of a component or system, especially when it is still being designed" (Hamburg and Mogyorodi, 2024) | Development Testing? |  | 
Full Conformance Testing (implied by IEEE, 2021, p. 7) | Type (inferred from conformance testing) | Testing that "all of the requirements … of the chosen (non-empty) set of techniques … and the corresponding test coverage measurement approaches … have been satisfied" (IEEE, 2021, p. 7; may be specific to this) | Conformance Testing |  | 
Functional Suitability Testing (IEEE, 2022, p. 7; 2021, p. viii) | Type (IEEE, 2021, p. viii; implied by its quality (ISO/IEC, 2023a)) | Testing to determine the "capability of a product to provide functions that meet stated and implied needs of intended users when it is used under specified conditions" (ISO/IEC, 2023a) |  | Functionality Testing? (implied by Hamburg and Mogyorodi, 2024) | This includes meeting "the functional specification" (ISO/IEC, 2023a), but originally explicitly didn't (2011). Difference between this and functional testing?
Functional Testing | Type (IEEE, 2022, pp. 15, 20, 22; 2021, p. 7; implied by the quality of "correctness" (IEEE, 2017, p. 104; Washizaki, 2024, p. 3-13)) | Testing "used to check the implementation of functional requirements" (IEEE, 2022, p. 21), which "identif[y] what results a product or process shall produce" (IEEE, 2017, p. 195) based on software algorithms that support work tasks (p. 422), and "to verify that the SUT conforms to standards, rules, specifications, requirements, design, processes, or practices" (Washizaki, 2024, p. 5-7) | Functional Suitability Testing? | Conformance Testing, Correctness Testing? (Washizaki, 2024, p. 5-7) | 
Functional Testing | Technique (inferred from specification-based testing) | "Testing that … focuses solely on the outputs generated in response to selected inputs and execution conditions" or that "evaluate[s] the compliance of a system or component with specified functional requirements" (IEEE, 2017, p. 196) which "identif[y] what results" (IEEE, 2017, p. 195) or "observable behaviours that the software is to provide (Washizaki, 2024, p. 1-4) "based on an analysis of the specification of … [its] functionality" (Kam, 2008, p. 44) | Automated Testing (can be) (Gerrard, 2000a, p. 11) | Specification-based Testing (IEEE, 2017, p. 196; Kam, 2008, p. 44; van Vliet, 2000, p. 399) | Difference between this and specification-based testing (IEEE, 2017, p. 196; van Vliet, 2000, p. 399; Souza et al., 2017, p. 3)?
Functionality Testing | Type? (implied by its quality (IEEE, 2017, p. 196) and by Firesmith, 2015, p. 53) | Testing of the "capabilities of the various … features provided by a product" (IEEE, 2017, p. 196) | Build Verification Testing (Hamburg and Mogyorodi, 2024), Smoke Testing?, Functionality Suitability Testing? | Functional Suitability Testing? (seems incorrect) (Hamburg and Mogyorodi, 2024) | Should be performed "in all projects", possibly implicitly "during development and user evaluation", but is "typically the … most expensive and time consuming to implement and execute" (Gerrard, 2000a, p. 13). Difference between this and functional testing? Gerrard makes a distinction between them (2000a, Tab. 2; 2000b, Tab. 1)
Functions Testing (implied by Doğan et al., 2014, Tab. 11) | Technique (inferred from structure-based testing) |  | Requirements-based Testing? (Kam, 2008, p. 47), Structured-based Testing (implied by Doğan et al., 2014, Tab. 11), Control Flow Testing? |  | Difference between this and method testing?
Fuzz Testing | Technique (IEEE, 2022, p. 36; Hamburg and Mogyorodi, 2024), Practice? (inferred from mathematical-based testing) | Testing where "high volumes of random (or near random) data, called fuzz, are used to generate [test] inputs" (IEEE, 2022, p. 5; similar in Hamburg and Mogyorodi, 2024) "aimed at breaking the software" (Bourque and Fairley, 2014, p. 4-8) or "discover[ing] security vulnerabilities" (Hamburg and Mogyorodi, 2024) | Mathematical-based Testing (IEEE, 2022, p. 36), Security Testing (Hamburg and Mogyorodi, 2024), Random Testing (Bourque and Fairley, 2014, p. 4-8; Firesmith, 2015, p. 51; implied by IEEE, 2022, p. 5; Hamburg and Mogyorodi, 2024) | Fuzzing (Hamburg and Mogyorodi, 2024) | Often used for security testing (Bourque and Fairley, 2014, p. 4-8). This is tagged (?) as "artificial intelligence" (IEEE, 2022, p. 5), but I don't think AI is required
Galumphing (Firesmith, 2015, p. 50) | Technique? |  | Exploratory Testing (Firesmith, 2015, p. 50) |  | 
Graphical User Interface (GUI) Testing | Approach | "Testing performed by interacting with the software under test via the graphical user interface" (Hamburg and Mogyorodi, 2024) | Browser Page Testing (implied by Gerrard, 2000b, p. 13), Dynamic Testing |  | See Banerjee et al. (2013)
Grey-Box Testing | Technique (IEEE, 2021, p. 8; Firesmith, 2015, p. 46) | Testing that "utilis[es] a combination of knowledge from the test item's specification and structure" (IEEE, 2021, p. 8) | Specification-based Testing, Structure-based Testing (IEEE, 2021, p. 8; Patton, 2006, p. 218) | Sometimes spelled "gray-box" (Patton, 2006, p. 218) or without a hyphen ("graybox"; Firesmith, 2015, p. 46) | 
Group Testing (Firesmith, 2015, p. 36) | Approach |  |  |  | 
Heartbeat (Firesmith, 2015, p. 31) | Practice? |  | Periodic Built-In Testing (Firesmith, 2015, p. 31), Self-Testing? (implied by Firesmith, 2015, p. 31) |  | Not sure what this is; investigate
Heuristic Evaluations | Technique (Hamburg and Mogyorodi, 2024) | "Usability review[s] … that evaluate[] a work product by using a set of heuristics" (Hamburg and Mogyorodi, 2024) | Usability Reviews (Hamburg and Mogyorodi, 2024), Usability Testing (Gerrard, 2000a, p. 13; 2000b, p. 22) |  | See [18] in Gerrard, 2000b, p. 22
High Frequency Testing (Sharma et al., 2021, p. 601; OG [19]) | Approach |  | Integration Testing (Sharma et al., 2021, p. 603) |  | 
High-Level Testing | Approach | Testing "with concrete values for preconditions, input data, expected results, postconditions, and a detailed description of actions (where applicable)" (Hamburg and Mogyorodi, 2024) |  |  | OG definition was about test cases, not a test approach
Human Factors Engineer Testing (Firesmith, 2015, p. 39) | Practice? |  | Developer Testing (Firesmith, 2015, p. 39) |  | 
Human-in-the-Loop Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) |  | System Testing (Firesmith, 2015, p. 23) | HIL Testing (Firesmith, 2015, p. 23) | 
Hyperlink Testing (Doğan et al., 2014, Tab. 13; OG Ricca and Tonella, 2001; 2002) | Technique? (inferred from control flow testing) | Testing in which "every hyperlink from every page in the site is traversed at least once" (Doğan et al., 2014, Tab. 13; OG Ricca and Tonella, 2001; 2002) | Web Application Testing (Doğan et al., 2014, Tab. 13), Smoke Testing, Desktop Development Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Gray-Box Testing? (Patton, 2006, p. 220), Page Testing, Control Flow Testing? | All-Hyperlinks Testing? (Doğan et al., 2014, Tab. 13; OG Mansour and Houri, 2006), Link Checking? | 
Hypothesis Testing | Approach | "Validation of a theory and its assumptions using sample data" (Hamburg and Mogyorodi, 2024) |  |  | Ambiguous: what is a "theory"? why use "sample data" and not just "data"? is it specific to software or does it just refer to general science? Potentially related to model verification
In-container Testing (Doğan et al., 2014, Tab. 8) | Approach | "Testing in application servers" (Doğan et al., 2014, Tab. 8) | Web Application Testing (Doğan et al., 2014, Tab. 8) |  | 
Incremental Testing (Firesmith, 2015, p. 29) | Practice? | Testing that "occur[s] in an overlapping … manner" to other phases of development (IEEE, 2017, p. 218) "through a series of iterations" (Washizaki, 2024, p. 10-5; OG [3, 8, 13]) or "where components or systems are integrated and tested one or some at a time" (Kam, 2008, p. 45) | Lifecycle-based Testing (Washizaki, 2024, p. 10-5; OG [2, 3, 10]; Firesmith, 2015, p. 29) | Incremental Verification? (implied by Lahiri et al., 2013, p. 345) | 
Independent Test Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Organization-based Testing (Firesmith, 2015, p. 37), Independent Tester Testing |  | 
Independent Tester Testing (Firesmith, 2015, p. 39) | Practice? |  | Tester Testing (Firesmith, 2015, p. 39) |  | 
Individual Testing (Firesmith, 2015, p. 36) | Approach |  |  |  | 
Inductive Assertion Methods | Technique (IEEE, 2017, p. 220; OG ISO/IEC, 2002) | The process "in which assertions are written describing program inputs, outputs, and intermediate conditions, a set of theorems is developed relating satisfaction of the input assertions to satisfaction of the output assertions, and the theorems are proved or disproved using proof by induction" (IEEE, 2017, p. 220; OG ISO/IEC, 2002) | Proofs of Correctness (IEEE, 2017, p. 220; OG ISO/IEC, 2002), Mathematical-based Testing, Assertion Checking, Static Testing? |  | 
Industrial Web Application Testing | Approach |  | Web Application Testing (Kam, 2008, p. 10) |  | 
Informal Reviews | Approach | "Review[s] that do[] not follow a defined process and ha[ve] no formally documented output" (Hamburg and Mogyorodi, 2024) | Reviews (Washizaki, 2024, p. 12-14; Hamburg and Mogyorodi, 2024), Informal Testing |  | 
Informal Testing | Approach, Technique? (Kam, 2008, p. 6) | "Testing conducted in accordance with test plans and procedures that have not been reviewed and approved by a customer, user, or designated level of management" (IEEE, 2017, p. 220) |  |  | "Widely accepted by industry" (Kam, 2008, p. 6) (which I think is wild) and "the tedious and confusing software testing jargon" is a drawback (Kam, 2008, p. 6) (although this isn't specific to informal testing)
Infrastructure Compatibility Testing | Type (implied by Firesmith, 2015, p. 53) |  | Compatibility Testing (Firesmith, 2015, p. 53), Infrastructure Testing |  | 
Infrastructure Testing | Type (implied by Firesmith, 2015, p. 57), Level? (Gerrard, 2000a, p. 13) | Testing of "infrastructure components[, or "what runs on the servers" (Gerrard, 2000a, p. 13),] to reduce the chances of downtime and improve the performance of the IT infrastructure" (Washizaki, 2024, p. 5-9) | Security Testing (Firesmith, 2015, p. 57), Non-functional Testing (Washizaki, 2024, p. 5-9) |  | 
Initial Operational Testing | Level (inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30) | IOT (Firesmith, 2015, p. 30) | 
Input Data Testing | Level (Hamburg and Mogyorodi, 2024) | Testing "that focuses on the quality of the data used for training and prediction by ML models" (Hamburg and Mogyorodi, 2024) | ML Model Testing |  | 
Input Validation Testing (Gerrard, 2000a, Fig. 5; Doğan et al., 2014, Tab. 13; OG Liu and Kuan Tan, 2008) | Approach, Technique? (inferred from path testing) | Testing that ensures "at least one path in the program's CFG w.r.t. the validation of inputs has been covered" (Doğan et al., 2014, Tab. 13; OG Liu and Kuan Tan, 2008) | Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5), Path Testing, Data-driven Testing? |  | Related to the idea of "input validation coverage (IVC)" (Doğan et al., 2014, Tab. 13; OG Liu and Kuan Tan, 2008)
Input-Parameter Testing (Doğan et al., 2014, Tab. 13; OG Halfond and Orso, 2007) | Technique? (inferred from combinatorial testing) | Testing that aims to "cover[] all possibilities of input parameters" (Doğan et al., 2014, Tab. 13; OG Halfond and Orso, 2007) | Web Application Testing, Specification-based Testing (Doğan et al., 2014, Tab. 13), Model-based Testing (IEEE, 2022, p. 13; 2021, p. 6), Combinatorial Testing |  | 
Insourced Testing | Practice? | "Testing performed by people who are co-located with the project team but are not fellow employees" (Hamburg and Mogyorodi, 2024) |  |  | Also mentioned by Firesmith (2015, p. 41)
